Date,GOOGL,DIS,MCD,TSLA,KO,WMT,XOM,JPM,JNJ,PFE,BA,AAPL,NVDA,DD,AMT,DUK,EQIX,LULU
2015-09-01 00:00:00-04:00,-0.01458731548404868,0.003141104342311074,0.04607553031310774,-0.0026500015278088096,0.020346255743229902,0.008539308069315243,-0.002583306397458074,-0.04882970200612413,0.0008954368473450547,-0.017521704027542273,0.00845933622193118,-0.0173888216834851,0.10114394502823054,-0.03107880462483814,-0.045666241920682804,0.025765223905693135,0.019808653051093472,-0.20871739047778648
2015-10-01 00:00:00-04:00,0.15511384032282338,0.11291577092837723,0.13924677707660882,-0.16694846898986193,0.06472846988005321,-0.11721162058812995,0.11284487844282154,0.05379660453925683,0.08227076901227792,0.07672736598327079,0.13073702208790894,0.0834091728421329,0.15091291138424356,0.23084748867748628,0.1679056617182626,-0.006533220478089241,0.08514969129596817,-0.029220203600140215
2015-11-01 00:00:00-04:00,0.034527239227270856,-0.0023736695167335675,0.017015881443019465,0.11274349821695906,0.006375109156804948,0.027952506002047794,-0.013052852980722895,0.04530951181622478,0.002078935533952997,-0.031046487347141216,-0.01769445663872493,-0.010041974911078833,0.1180822578174252,0.008902517070535687,-0.027878275366758576,-0.05190980512885157,0.03955399475410104,-0.02745573570050941
2015-12-01 00:00:00-05:00,0.019872636762212847,-0.07394018695895854,0.04297707349620716,0.04234347420944928,0.01570779669402045,0.041808085265170325,-0.037110908743441584,-0.009747984924592168,0.022098028576236217,-0.007002144015510359,0.00023374952361465695,-0.10641944513120549,0.04303790734365287,-0.012468819408189225,-0.02445191080264808,0.06651629304651552,0.01989901411405115,0.09723968121192184
2016-01-01 00:00:00-05:00,-0.021413492527409983,-0.0822781042444446,0.047740386426431636,-0.20336655637088663,-0.0009308532233607281,0.09161224532117695,-0.0012827046649567242,-0.09889456567160637,0.016744593400803476,-0.05545203019547407,-0.16916798262232502,-0.07524241229387563,-0.1113473149954245,-0.1769000967297636,-0.02180450292390046,0.05476970979324913,0.03281188559049175,0.1829616590581138
2016-02-01 00:00:00-05:00,-0.05796276409670209,-0.0031309224972697614,-0.05323995986980512,0.003817939286909544,0.004892937644276563,-0.0003009623775346304,0.029544012846833168,-0.047433738400008196,0.007372356373391176,-0.026894376898635164,-0.01623248305231839,-0.006677502667832069,0.07067275911857318,0.1573812752117223,-0.022683697766003652,-0.013545881145567762,-0.022153023677186745,0.010633153708024645
2016-03-01 00:00:00-05:00,0.06369028677471822,0.0396775857786158,0.08057112972352032,0.1971552400524741,0.07558547911845914,0.03240848273324293,0.052385110561916415,0.05186496836389631,0.03587247193649179,0.009032465142132962,0.0840640280794096,0.13332719743578925,0.1403000997236581,0.04628651825240948,0.11030345585957146,0.09763316949673095,0.0889724100390803,0.07938784598401405
2016-04-01 00:00:00-04:00,-0.07211951117048976,0.03977463748649024,0.006444570384130044,0.047830459391734026,-0.02674347069935168,-0.01642527841294572,0.05754249080207763,0.06720684665174614,0.03585969244637677,0.10357625646833002,0.06191907621921855,-0.13992112444556049,-0.002806736988717029,0.04371985429444636,0.024518804989993814,-0.023549501547224017,0.004587732962639812,-0.03190069505125981
2016-05-01 00:00:00-04:00,0.057876973597821735,-0.039124892881179596,-0.03502209585416549,-0.0728111083172156,-0.0044642431448914666,0.05847164550831363,0.007013669428862945,0.04039924705061426,0.005442473474375209,0.060837575133213084,-0.06416902539978198,0.0652868777929978,0.3149451760088535,-0.02375964467322067,0.013504046215638832,-0.006981430957232915,0.0958075671133205,-0.007932940476758521
2016-06-01 00:00:00-04:00,-0.060519529306911624,-0.014109743777394157,-0.014091560293350902,-0.04905251604174787,0.016367360047416124,0.03920114128713048,0.06187182225172716,-0.047954565812849737,0.08408941132522307,0.023784584260149177,0.037885748545933184,-0.03683116478641757,0.008820035936722093,-0.032125900402630525,0.0740217505720191,0.10813592553184193,0.07653831273850087,0.13578351525151544
2016-07-01 00:00:00-04:00,0.12481351295781251,-0.019116864918873544,-0.015167221547825571,0.10603918690237002,-0.030121103677460126,-0.0006848712794277345,-0.05109872515983427,0.029449704374846064,0.032399067833973616,0.04771358696485728,0.029183425467574686,0.09006286902935168,0.21463519655150942,0.08969346328086769,0.02405589847501788,-0.0023312977240412813,-0.038326121118248735,0.051313307395182584
2016-08-01 00:00:00-04:00,-0.001882789806200269,-0.008377601554137581,-0.016914469935525034,-0.09702290457247609,-0.0045840751124770485,-0.020967704328110792,-0.0203484760284095,0.06339623484842072,-0.04703386945239185,-0.05665498370086752,-0.031498065673399966,0.018136682374114255,0.07425531753836978,-0.0005595131437129419,-0.020644411500292725,-0.06928384759355044,-0.011317744550123243,-0.014681253924618387
2016-09-01 00:00:00-04:00,0.017990707470904033,-0.016938406963321495,0.005157757663928564,-0.037639705293445846,-0.02555897429624998,0.016429594136743164,0.010147544897009197,-0.013481679101484234,-0.0035349857358195624,-0.018633510018807087,0.026123852766600564,0.07127638062114361,0.11911153266513685,-0.03374315502628511,-0.000440638877468702,0.01501291044796016,-0.018094648642587696,-0.2029800308506341
2016-10-01 00:00:00-04:00,0.007263166292228229,-0.0018306667935924503,-0.0241854909683199,-0.03087781715857929,0.010076057123042714,-0.02911819383627734,-0.04537105268099295,0.040096263943208976,-0.01811556178062368,-0.06377345959564851,0.08114425210511511,0.0043340987940483355,0.03852888106117058,0.04736665270246965,0.039136297740683945,-0.0002501889199266749,-0.008244104368711258,-0.061167588885480906
