,GOOGL,DIS,MCD,TSLA,KO,WMT,XOM,JPM,JNJ,PFE,BA,AAPL,NVDA,DD,AMT,DUK,EQIX,LULU
mu,0.21979196224839742,0.06658942217254635,0.1595420619532767,0.48347373225279633,0.10142794027148896,0.1883466469934701,0.12285040490763055,0.21302753295524116,0.10478865841802874,0.045614597507212334,0.14853334168589916,0.261552265175348,0.6989673359344091,0.09219856611523236,0.12992686818125077,0.11128974286215887,0.1541034427689947,0.19195642023104348
sigma,0.2433629875002826,0.30061405894370224,0.1719993238687055,0.6324354756703466,0.16253552099697446,0.18781864246289143,0.2742585347095709,0.24451500667031534,0.16361409558356202,0.22126097403065645,0.39017175785434083,0.2773246276093766,0.47247766392524937,0.31213948150849297,0.2313430797157351,0.1713354203570662,0.2159726945845671,0.3938425857213293
