,GOOGL,DIS,MCD,TSLA,KO,WMT,XOM,JPM,JNJ,PFE,BA,AAPL,NVDA,DD,AMT,DUK,EQIX,LULU
mu,0.219791947265884,0.06658942934586837,0.1595420236308998,0.48347373225279633,0.10142789680273712,0.1883466098712273,0.12285039047254775,0.21302750786429037,0.10478862563307872,0.045614580766395255,0.14853336473137038,0.2615522654559707,0.6989673369767857,0.09219857290472469,0.12992684346463867,0.11128975437692351,0.15410344917616764,0.19195642023104348
sigma,0.24336297612585125,0.3006141445867904,0.17199923043478274,0.6324354756703466,0.1625354683655233,0.1878185625407139,0.2742584683921328,0.24451497185059784,0.16361409785360478,0.22126093730660618,0.3901717673189615,0.2773245432511368,0.47247765525413754,0.31213944775937635,0.23134311298305144,0.17133544042624094,0.2159725856749593,0.3938425857213293
